    Crs_volume_1_1_4  |         main_volume  |PbWO4 crystal mother volume 114  |                            -20.5*mm -20.5*mm 0*mm  |                       0*deg 0*deg 0*deg  | 838EDE   |                 Box  |                                    10.25*mm 10.25*mm 125*mm  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
           Crs_1_1_4  |    Crs_volume_1_1_4  |             PbWO4 crystal 114  |                                    0*mm 0*mm 0*mm  |                       0*deg 0*deg 0*deg  | 1c86ea   |                 Box  |                                          10*mm 10*mm 125*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |           poker_crs  |           poker_crs  |sector manual 400 xch manual 1 ych manual 1 zch manual 4 
    Crs_volume_1_2_4  |         main_volume  |PbWO4 crystal mother volume 124  |                                -20.5*mm 0*mm 0*mm  |                       0*deg 0*deg 0*deg  | 838EDE   |                 Box  |                                    10.25*mm 10.25*mm 125*mm  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   0   |           poker_crs  |           poker_crs  |sector manual 400 xch manual 1 ych manual 1 zch manual 4 
           Crs_1_2_4  |    Crs_volume_1_2_4  |             PbWO4 crystal 124  |                                    0*mm 0*mm 0*mm  |                       0*deg 0*deg 0*deg  | 1c86ea   |                 Box  |                                          10*mm 10*mm 125*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |           poker_crs  |           poker_crs  |sector manual 400 xch manual 1 ych manual 2 zch manual 4 
    Crs_volume_1_3_4  |         main_volume  |PbWO4 crystal mother volume 134  |                             -20.5*mm 20.5*mm 0*mm  |                       0*deg 0*deg 0*deg  | 838EDE   |                 Box  |                                    10.25*mm 10.25*mm 125*mm  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   0   |           poker_crs  |           poker_crs  |sector manual 400 xch manual 1 ych manual 2 zch manual 4 
           Crs_1_3_4  |    Crs_volume_1_3_4  |             PbWO4 crystal 134  |                                    0*mm 0*mm 0*mm  |                       0*deg 0*deg 0*deg  | 1c86ea   |                 Box  |                                          10*mm 10*mm 125*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |           poker_crs  |           poker_crs  |sector manual 400 xch manual 1 ych manual 3 zch manual 4 
    Crs_volume_2_1_4  |         main_volume  |PbWO4 crystal mother volume 214  |                                0*mm -20.5*mm 0*mm  |                       0*deg 0*deg 0*deg  | 838EDE   |                 Box  |                                    10.25*mm 10.25*mm 125*mm  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   0   |           poker_crs  |           poker_crs  |sector manual 400 xch manual 1 ych manual 3 zch manual 4 
           Crs_2_1_4  |    Crs_volume_2_1_4  |             PbWO4 crystal 214  |                                    0*mm 0*mm 0*mm  |                       0*deg 0*deg 0*deg  | 1c86ea   |                 Box  |                                          10*mm 10*mm 125*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |           poker_crs  |           poker_crs  |sector manual 400 xch manual 2 ych manual 1 zch manual 4 
    Crs_volume_2_2_4  |         main_volume  |PbWO4 crystal mother volume 224  |                                    0*mm 0*mm 0*mm  |                       0*deg 0*deg 0*deg  | 838EDE   |                 Box  |                                    10.25*mm 10.25*mm 125*mm  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   0   |           poker_crs  |           poker_crs  |sector manual 400 xch manual 2 ych manual 1 zch manual 4 
           Crs_2_2_4  |    Crs_volume_2_2_4  |             PbWO4 crystal 224  |                                    0*mm 0*mm 0*mm  |                       0*deg 0*deg 0*deg  | 1c86ea   |                 Box  |                                          10*mm 10*mm 125*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |           poker_crs  |           poker_crs  |sector manual 400 xch manual 2 ych manual 2 zch manual 4 
    Crs_volume_2_3_4  |         main_volume  |PbWO4 crystal mother volume 234  |                                 0*mm 20.5*mm 0*mm  |                       0*deg 0*deg 0*deg  | 838EDE   |                 Box  |                                    10.25*mm 10.25*mm 125*mm  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   0   |           poker_crs  |           poker_crs  |sector manual 400 xch manual 2 ych manual 2 zch manual 4 
           Crs_2_3_4  |    Crs_volume_2_3_4  |             PbWO4 crystal 234  |                                    0*mm 0*mm 0*mm  |                       0*deg 0*deg 0*deg  | 1c86ea   |                 Box  |                                          10*mm 10*mm 125*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |           poker_crs  |           poker_crs  |sector manual 400 xch manual 2 ych manual 3 zch manual 4 
    Crs_volume_3_1_4  |         main_volume  |PbWO4 crystal mother volume 314  |                             20.5*mm -20.5*mm 0*mm  |                       0*deg 0*deg 0*deg  | 838EDE   |                 Box  |                                    10.25*mm 10.25*mm 125*mm  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   0   |           poker_crs  |           poker_crs  |sector manual 400 xch manual 2 ych manual 3 zch manual 4 
           Crs_3_1_4  |    Crs_volume_3_1_4  |             PbWO4 crystal 314  |                                    0*mm 0*mm 0*mm  |                       0*deg 0*deg 0*deg  | 1c86ea   |                 Box  |                                          10*mm 10*mm 125*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |           poker_crs  |           poker_crs  |sector manual 400 xch manual 3 ych manual 1 zch manual 4 
